NACA64714 a=0.0
 1.0020162    -0.0057571
 0.9956016    -0.0052341
 0.9846730    -0.0040339
 0.9721749    -0.0023666
 0.9583063    -0.0002340
 0.9433923     0.0023208
 0.9277302     0.0052322
 0.9115933     0.0084305
 0.8951268     0.0118718
 0.8784099     0.0155135
 0.8615188     0.0193179
 0.8444729     0.0232641
 0.8272802     0.0273281
 0.8099582     0.0314857
 0.7925164     0.0357145
 0.7749745     0.0399884
 0.7574132     0.0442661
 0.7399183     0.0485112
 0.7225165     0.0526997
 0.7051989     0.0568162
 0.6879550     0.0608506
 0.6707839     0.0647913
 0.6536766     0.0686282
 0.6366259     0.0723536
 0.6196388     0.0759562
 0.6027179     0.0794233
 0.5858556     0.0827455
 0.5690461     0.0859146
 0.5522913     0.0889213
 0.5356010     0.0917543
 0.5189813     0.0944012
 0.5024261     0.0968521
 0.4859390     0.0990982
 0.4695418     0.1011263
 0.4532522     0.1029207
 0.4370775     0.1044655
 0.4210273     0.1057441
 0.4050988     0.1067398
 0.3892294     0.1074389
 0.3733240     0.1078457
 0.3573361     0.1079728
 0.3412710     0.1078314
 0.3251593     0.1074328
 0.3090445     0.1067816
 0.2929722     0.1058792
 0.2769779     0.1047207
 0.2610789     0.1032997
 0.2452834     0.1016092
 0.2295988     0.0996437
 0.2140442     0.0974000
 0.1986438     0.0948737
 0.1834173     0.0920594
 0.1683948     0.0889549
 0.1536200     0.0855585
 0.1391309     0.0818670
 0.1249753     0.0778832
 0.1112272     0.0736195
 0.0979766     0.0690973
 0.0853439     0.0643593
 0.0734874     0.0594738
 0.0625713     0.0545293
 0.0527338     0.0496262
 0.0440527     0.0448658
 0.0365288     0.0403357
 0.0300942     0.0361018
 0.0246364     0.0321957
 0.0200272     0.0286191
 0.0161383     0.0253444
 0.0128531     0.0223222
 0.0100700     0.0195070
 0.0077206     0.0168588
 0.0057472     0.0143496
 0.0041068     0.0119551
 0.0027645     0.0096491
 0.0016911     0.0074100
 0.0008829     0.0052407
 0.0003404     0.0031592
 0.0000542     0.0011664
 0.0000140    -0.0007885
 0.0002850    -0.0027145
 0.0010436    -0.0045087
 0.0023666    -0.0061231
 0.0041195    -0.0076315
 0.0060972    -0.0091101
 0.0082559    -0.0105340
 0.0106607    -0.0118334
 0.0134133    -0.0129535
 0.0165934    -0.0139058
 0.0202730    -0.0147254
 0.0245331    -0.0154457
 0.0295306    -0.0160873
 0.0355049    -0.0167059
 0.0427913    -0.0173401
 0.0517544    -0.0180286
 0.0626918    -0.0187581
 0.0757854    -0.0195075
 0.0908903    -0.0202766
 0.1074829    -0.0210812
 0.1249374    -0.0219182
 0.1428059    -0.0227743
 0.1608512    -0.0236395
 0.1789634    -0.0245067
 0.1970892    -0.0253716
 0.2151903    -0.0262291
 0.2332394    -0.0270700
 0.2512311    -0.0278838
 0.2691775    -0.0286634
 0.2870765    -0.0294036
 0.3049246    -0.0300985
 0.3227128    -0.0307439
 0.3403805    -0.0313304
 0.3578539    -0.0318308
 0.3751069    -0.0322116
 0.3922031    -0.0324391
 0.4092604    -0.0325030
 0.4263767    -0.0324060
 0.4436139    -0.0321651
 0.4609901    -0.0318011
 0.4784813    -0.0313348
 0.4960427    -0.0307792
 0.5136574    -0.0301397
 0.5313287    -0.0294232
 0.5490507    -0.0286373
 0.5668151    -0.0277883
 0.5846175    -0.0268820
 0.6024558    -0.0259232
 0.6203299    -0.0249169
 0.6382396    -0.0238683
 0.6561810    -0.0227828
 0.6741482    -0.0216643
 0.6921462    -0.0205156
 0.7101832    -0.0193416
 0.7282618    -0.0181490
 0.7463737    -0.0169456
 0.7644918    -0.0157393
 0.7825721    -0.0145398
 0.8005786    -0.0133601
 0.8185115    -0.0122140
 0.8363754    -0.0111091
 0.8541460    -0.0100574
 0.8718200    -0.0090721
 0.8893784    -0.0081626
 0.9067527    -0.0073436
 0.9238503    -0.0066383
 0.9405098    -0.0060646
 0.9564084    -0.0056484
 0.9711405    -0.0054205
 0.9842714    -0.0053886
 0.9955372    -0.0055382
 1.0020162    -0.0057571
